Problem,HC,HCRR,SA
01-easy5 19.0,23.0,19.0,23.0
02-ulysses16 407.82547,464.23651,528.1038500000001,496.69059999999996
03-fri26 937.0,1312.0,1813.0,1431.0
04-dantzig42 699.0,1109.0,2190.0,1649.0
05-att48 33551.0,56536.0,112750.0,53433.0
