Problem,Average Fitness,Standard Deviation,Best Fitness,Worst Fitness,Execution Time
01-easy5 19.0,19.903225806451612,0.9953063626155814,19.0,21.0,1.5850787854963733
01-easy5 19.0,19.903225806451612,0.9953063626155814,19.0,21.0,1.5850787854963733
02-ulysses16 407.82547,469.10692741935486,33.30248777740959,395.5573599999999,563.2928399999998,3.022440618084323
02-ulysses16 407.82547,469.10692741935486,33.30248777740959,395.5573599999999,563.2928399999998,3.022440618084323
03-fri26 937.0,1287.4193548387098,72.95415007034892,1162.0,1448.0,3.3944429428346696
03-fri26 937.0,1287.4193548387098,72.95415007034892,1162.0,1448.0,3.3944429428346696
04-dantzig42 699.0,1545.2903225806451,156.6819654377757,1310.0,1842.0,3.3765275785999913
04-dantzig42 699.0,1545.2903225806451,156.6819654377757,1310.0,1842.0,3.3765275785999913
05-att48 33551.0,67436.03225806452,7404.396847575012,56848.0,86937.0,3.4318041801452637
05-att48 33551.0,67436.03225806452,7404.396847575012,56848.0,86937.0,3.4318041801452637
