Problem                ,Average Fitness HC    ,Average Fitness HCRR ,Average Fitness SA   ,Average Fitness GRASP
01-easy5 19.0          ,   19.903225806451612 ,   19.0              ,   19.0              ,     19.0
02-ulysses16 407.82547 ,  469.10692741935486  ,  405.09564451612897 ,  403.40480129032255 ,    404.063645483871
03-fri26 937.0         , 1287.4193548387098   , 1066.6774193548388  , 1044.774193548387   ,   1068.1290322580646
04-dantzig42 699.0     , 1545.2903225806451   , 1152.2903225806451  ,  986.9032258064516  ,   1136.0
05-att48 33551.0       ,67436.03225806452     ,53275.645161290326   ,60605.58064516129    ,  53150.032258064515
