Problem,Average Fitness,Standard Deviation,Best Fitness,Worst Fitness,Execution Time
01-easy5 19.0,19.0,0.0,19.0,19.0,0.0005951619917346586
02-ulysses16 407.82547,403.40480129032255,4.750644601623421,395.55735999999996,413.7523999999999,1.30179629787322
03-fri26 937.0,1044.774193548387,31.67751790274402,955.0,1095.0,1.8640125259276359
04-dantzig42 699.0,986.9032258064516,54.599630649057765,903.0,1102.0,1.8923615563300349
05-att48 33551.0,60605.58064516129,5452.080223146519,49028.0,75792.0,1.9728792021351476
