Problem,Average Fitness,Standard Deviation,Best Fitness,Worst Fitness,Execution Time
01-easy5 19.0,19.0,0.0,19.0,19.0,0.04506753336998724
02-ulysses16 407.82547,408.2766106451613,7.772116862331736,395.5573599999999,421.8174299999999,1.1739514489327707
03-fri26 937.0,1085.0967741935483,34.302595442769366,1011.0,1137.0,1.7536401979384884
04-dantzig42 699.0,1194.967741935484,47.41612892252929,1097.0,1281.0,1.8023008684958182
05-att48 33551.0,54928.74193548387,1913.84254531072,49146.0,57968.0,1.9125391667889011
