Problem,Average Fitness HC,Average Fitness HCRR,Average Fitness SA,Average Fitness GRASP
01-easy5 19.0,19.903225806451612,19.0,19.0,19.193548387096776
02-ulysses16 407.82547,469.10692741935486,422.0181322580644,403.40480129032255,421.1366829032257
03-fri26 937.0,1287.4193548387098,1130.516129032258,1044.774193548387,1124.516129032258
04-dantzig42 699.0,1545.2903225806451,1265.032258064516,986.9032258064516,1226.1290322580646
05-att48 33551.0,67436.03225806452,57982.290322580644,60605.58064516129,56660.45161290323
