Problem                                 ,Execution Time HC       ,Execution Time HCRR     ,Execution Time SA     ,Execution Time GRASP
file:f1-size:10-opt:295.0               , 2.889860914599511      ,  3.045043191602153     ,4.099201340829173     ,  3.237745907998854
file:f2-size:20-opt:1024.0              , 0.0020460851730838897  ,  0.0019191388160951675 ,0.010373546231177545  ,  0.0016954175887569304
file:f3-size:4-opt:35.0                 , 0.0005792648561539188  ,  0.000372017583539409  ,0.0005445249619022493 ,  0.0002895093733264554
file:f4-size:4-opt:23.0                 , 2.8911102894813783     ,  2.958090728329074     ,3.7465704948671403    ,  3.3222017595844884
file:f5-size:15-opt:481.069368          , 2.846330265845022      ,  0.04401701496493432   ,0.08587038132452196   ,  0.006434540594777753
file:f6-size:10-opt:52.0                , 0.0007183859425206338  ,  0.0005976230867447391 ,0.0007975947472356981 ,  0.0004753143556656376
file:f7-size:7-opt:107.0                , 3.0486083645974436     ,  2.86976348200152      ,3.857666169443438     ,  3.7420461331644366
file:f8-size:23-opt:9767.0              , 3.5157083003751692     ,  0.20526386076404202   ,2.731851808486446     ,  0.1003332753335276
file:f9-size:5-opt:130.0                , 0.00019297292155604208 ,  0.0002895401370140814 ,0.0002572228831629599 ,  0.00019294984879032257
file:f10-size:20-opt:1025.0             , 0.001884445067374937   ,  0.0017829018254433909 ,0.006368298684397052  ,  0.00170291623761577
file:Knapsack1-size:30-opt:99798.0      , 2.399626608817808      ,  0.06481681331511467   ,1.844039294027513     ,  0.10313749313354492
file:Knapsack2-size:50-opt:142156.0     , 5.6582639525013585     ,  4.324558788730252     ,5.602775066129623     ,  8.243415778683078
file:Knapsack3-size:200-opt:100236.0    , 4.179751511543028      ,  0.13364518073297316   ,4.42573489681367      ,  0.03487948448427262
file:Knapsack4-size:400-opt:3967180.0   ,17.534562095519036      , 16.82985496520996      ,6.189818097699073     , 62.991189941283196
file:Knapsack5-size:1000-opt:109899.0   , 3.916453969094061      , 12.109023640232701     ,4.978129825284404     , 18.19194713715584
file:Knapsack6-size:10000-opt:1099893.0 , 7.9541754645686        ,142.51332183038033      ,8.989457022759222     ,181.56951401310582
