Problem,Average Fitness,Standard Deviation,Best Fitness,Worst Fitness,Average Execution Time,Execution Time
file:f1-size:10-opt:295.0,294.0,0.0,294.0,294.0,,0.9837693475907848
file:f2-size:20-opt:1024.0,1024.0,0.0,1024.0,1024.0,,0.0005316503586307649
file:f3-size:4-opt:35.0,35.0,0.0,35.0,35.0,,4.109259574644027e-05
file:f4-size:4-opt:23.0,22.0,0.0,22.0,22.0,,0.9619365892102641
file:f5-size:15-opt:481.069368,481.0693680000001,1.0209379412729896e-13,481.06936800000005,481.069368,,0.015992080011675434
file:f6-size:10-opt:52.0,52.0,0.0,52.0,52.0,,9.42522479641822e-05
file:f7-size:7-opt:107.0,102.0,0.0,102.0,102.0,,1.060476618428384
file:f8-size:23-opt:9767.0,9767.0,0.0,9767.0,9767.0,,0.20511911761376164
file:f9-size:5-opt:130.0,130.0,0.0,130.0,130.0,,5.4982400709582916e-05
file:f10-size:20-opt:1025.0,1025.0,0.0,1025.0,1025.0,,0.0005357496200069304
file:Knapsack1-size:30-opt:99798.0,99798.0,0.0,99798.0,99798.0,,0.05045379361798687
file:Knapsack2-size:50-opt:142156.0,141663.4193548387,283.57029898086984,142156.0,141026.0,,2.367130071886124
file:Knapsack3-size:200-opt:100236.0,100236.0,0.0,100236.0,100236.0,,0.12380443849871235
file:Knapsack4-size:400-opt:3967180.0,3964134.935483871,670.5284355897542,3965244.0,3962630.0,,24.412452605462843
file:Knapsack5-size:1000-opt:109899.0,108634.06451612903,194.59816918607515,109022.0,108280.0,,3.0773171763266287
file:Knapsack6-size:10000-opt:1099893.0,1086489.3548387096,1681.6273329702738,1089910.0,1082829.0,,24.56032725303404
