Problem,Average Fitness,Standard Deviation,Best Fitness,Worst Fitness,Average Execution Time,Execution Time
file:f1-size:10-opt:295.0,294.0,0.0,294.0,294.0,,3.045043191602153
file:f2-size:20-opt:1024.0,1024.0,0.0,1024.0,1024.0,,0.0019191388160951675
file:f3-size:4-opt:35.0,35.0,0.0,35.0,35.0,,0.000372017583539409
file:f4-size:4-opt:23.0,22.0,0.0,22.0,22.0,,2.958090728329074
file:f5-size:15-opt:481.069368,481.06936800000017,1.4581910475169878e-13,481.06936800000005,481.069368,,0.04401701496493432
file:f6-size:10-opt:52.0,52.0,0.0,52.0,52.0,,0.0005976230867447391
file:f7-size:7-opt:107.0,102.0,0.0,102.0,102.0,,2.86976348200152
file:f8-size:23-opt:9767.0,9767.0,0.0,9767.0,9767.0,,0.20526386076404202
file:f9-size:5-opt:130.0,130.0,0.0,130.0,130.0,,0.0002895401370140814
file:f10-size:20-opt:1025.0,1025.0,0.0,1025.0,1025.0,,0.0017829018254433909
file:Knapsack1-size:30-opt:99798.0,99798.0,0.0,99798.0,99798.0,,0.06481681331511467
file:Knapsack2-size:50-opt:142156.0,141976.29032258064,181.56065254208812,142156.0,141614.0,,4.324558788730252
file:Knapsack3-size:200-opt:100236.0,100236.0,0.0,100236.0,100236.0,,0.13364518073297316
file:Knapsack4-size:400-opt:3967180.0,3962674.709677419,631.0657239708585,3963902.0,3961537.0,,16.82985496520996
file:Knapsack5-size:1000-opt:109899.0,107557.64516129032,256.4137971713158,108058.0,107059.0,,12.109023640232701
file:Knapsack6-size:10000-opt:1099893.0,1075982.2903225806,2871.3872132849,1081650.0,1070000.0,,142.51332183038033
