Problem,Average Fitness,Standard Deviation,Best Fitness,Worst Fitness,Average Execution Time,Execution Time
file:f1-size:10-opt:295.0,294.0,0.0,294.0,294.0,,0.9713138534176734
file:f2-size:20-opt:1024.0,1024.0,0.0,1024.0,1024.0,,0.0006317092526343561
file:f3-size:4-opt:35.0,35.0,0.0,35.0,35.0,,7.104873657226562e-05
file:f4-size:4-opt:23.0,22.0,0.0,22.0,22.0,,0.939715769983107
file:f5-size:15-opt:481.069368,481.06936800000017,1.5177333621710088e-13,481.06936800000005,481.06936799999994,,0.19585167208025533
file:f6-size:10-opt:52.0,52.0,0.0,52.0,52.0,,0.00011491775512695312
file:f7-size:7-opt:107.0,102.0,0.0,102.0,102.0,,0.8147427728099208
file:f8-size:23-opt:9767.0,9765.548387096775,2.2695560128177883,9767.0,9762.0,,0.6522403609368109
file:f9-size:5-opt:130.0,130.0,0.0,130.0,130.0,,7.078724522744455e-05
file:f10-size:20-opt:1025.0,1025.0,0.0,1025.0,1025.0,,0.0006236107118668095
file:Knapsack1-size:30-opt:99798.0,99798.0,0.0,99798.0,99798.0,,0.07340956503345121
file:Knapsack2-size:50-opt:142156.0,141179.5483870968,364.75558221288827,141907.0,140458.0,,1.6757925018187492
file:Knapsack3-size:200-opt:100236.0,100223.41935483871,28.688284889591213,100236.0,100158.0,,0.5691136621659801
file:Knapsack4-size:400-opt:3967180.0,3959898.64516129,1489.2074650932589,3963727.0,3957779.0,,6.996633129735147
file:Knapsack5-size:1000-opt:109899.0,107675.09677419355,230.07226842727397,108180.0,107102.0,,2.2366508437741186
file:Knapsack6-size:10000-opt:1099893.0,1078258.677419355,2046.7908537922317,1082170.0,1074778.0,,16.137594161495084
