Problem,Average Fitness,Standard Deviation,Best Fitness,Worst Fitness,Average Execution Time
file:f1-size:10-opt:295.0,294.0,0.0,294.0,294.0,0.09682439219567084
file:f2-size:20-opt:1024.0,1024.0,0.0,1024.0,1024.0,0.004328081684727822
file:f3-size:4-opt:35.0,35.0,0.0,35.0,35.0,8.615370719663559e-05
file:f4-size:4-opt:23.0,22.0,0.0,22.0,22.0,0.09215430290468278
file:f5-size:15-opt:481.069368,481.069368,2.052059865335354e-13,481.06936800000005,481.0693679999994,0.054289087172477477
file:f6-size:10-opt:52.0,52.0,0.0,52.0,52.0,0.00015040366880355344
file:f7-size:7-opt:107.0,102.0,0.0,102.0,102.0,0.09196982076091151
file:f8-size:23-opt:9767.0,9753.870967741936,1.007774151729891,9758.0,9752.0,0.08460723200151997
file:f9-size:5-opt:130.0,130.0,0.0,130.0,130.0,9.982047542448967e-05
file:f10-size:20-opt:1025.0,1025.0,0.0,1025.0,1025.0,0.003861534980035597
file:Knapsack1-size:30-opt:99798.0,99521.6129032258,347.7794701150526,99798.0,99084.0,0.046808135124944875
file:Knapsack2-size:50-opt:142156.0,139080.90322580645,1101.095505946419,141021.0,136880.0,0.11168545292269799
file:Knapsack3-size:200-opt:100236.0,100096.54838709677,52.01106501981398,100158.0,100002.0,0.0972800947004749
file:Knapsack4-size:400-opt:3967180.0,3951796.35483871,4146.252412436787,3958821.0,3942863.0,0.24695314899567636
file:Knapsack5-size:1000-opt:109899.0,105607.70967741935,585.2324155657546,106677.0,104274.0,0.11182717354066911
