Problem,Average Fitness,Standard Deviation,Best Fitness,Worst Fitness,Average Execution Time,Execution Time
file:f1-size:10-opt:295.0,294.0,0.0,294.0,294.0,,1.30718945687817
file:f2-size:20-opt:1024.0,1024.0,0.0,1024.0,1024.0,,0.003322816664172757
file:f3-size:4-opt:35.0,35.0,0.0,35.0,35.0,,0.00012562351842080393
file:f4-size:4-opt:23.0,22.0,0.0,22.0,22.0,,1.169253864595967
file:f5-size:15-opt:481.069368,481.06936800000017,1.414653108527671e-13,481.0693680000002,481.069368,,0.025038096212571668
file:f6-size:10-opt:52.0,52.0,0.0,52.0,52.0,,0.0001400516879174017
file:f7-size:7-opt:107.0,102.0,0.0,102.0,102.0,,1.1772458168768114
file:f8-size:23-opt:9767.0,9744.967741935483,3.4871549635561534,9753.0,9741.0,,0.8460641676379789
file:f9-size:5-opt:130.0,130.0,0.0,130.0,130.0,,9.325242811633694e-05
file:f10-size:20-opt:1025.0,1025.0,0.0,1025.0,1025.0,,0.0020531146757064326
file:Knapsack1-size:30-opt:99798.0,98185.64516129032,2069.6204350211738,99798.0,94566.0,,0.5325899047236289
file:Knapsack2-size:50-opt:142156.0,139184.12903225806,1062.2806792063916,141261.0,137145.0,,62.70208414908378
file:Knapsack3-size:200-opt:100236.0,100122.7741935484,51.81026780625716,100236.0,100002.0,,1.2696151733398438
file:Knapsack4-size:400-opt:3967180.0,3951777.193548387,4182.810063468714,3959223.0,3942863.0,,38.835822597626716
file:Knapsack5-size:1000-opt:109899.0,106166.32258064517,684.7732088470098,107551.0,105039.0,,1.8743509246457009
file:Knapsack6-size:10000-opt:1099893.0,1070934.935483871,4695.010776280077,1081816.0,1063596.0,,4.18699069946043
