Problem                                 ,Execution Time HC       ,Execution Time HCRR    ,Execution Time SA      ,Execution Time GRASP
file:f1-size:10-opt:295.0               , 2.7654197985126125     , 2.7151913258337204    ,3.781847053958524      , 2.7073447858133624
file:f2-size:20-opt:1024.0              , 0.001874992924351846   , 0.0018538736527965915 ,0.009665619942449754   , 0.001545152356547694
file:f3-size:4-opt:35.0                 , 0.00025653070019137475 , 0.0001777679689468876 ,0.0006135817497007308  , 0.00012873834179293725
file:f4-size:4-opt:23.0                 , 2.596103314430483      , 2.5969391484414377    ,3.3274199731888308     , 2.645784793361541
file:f5-size:15-opt:481.069368          , 2.263331497869184      , 0.3906359057272634    ,0.07203031355334867    , 0.04351742805973176
file:f6-size:10-opt:52.0                , 0.0008231286079652848  , 0.0004745375725530809 ,0.0007106334932388798  , 0.0005018711090087891
file:f7-size:7-opt:107.0                , 2.383957332180392      , 2.2380755793663765    ,3.378389496957102      , 2.8972722099673365
file:f8-size:23-opt:9767.0              , 2.895523932672316      , 1.3983353876298474    ,2.3439323286856375     , 0.7415462155495921
file:f9-size:5-opt:130.0                , 0.00035387469876197076 , 0.0003539208442934098 ,0.00040069703132875506 , 0.00038050836132418725
file:f10-size:20-opt:1025.0             , 0.002080478975849767   , 0.0033095267511183218 ,0.007728776624125819   , 0.0015614724928332913
file:Knapsack1-size:30-opt:99798.0      , 2.053428772957094      , 0.11823406527119298   ,1.6317292797950007     , 0.14890660009076517
file:Knapsack2-size:50-opt:142156.0     , 4.552242409798406      , 4.686605684218868     ,3.919431640255836      , 6.544177063049808
file:Knapsack3-size:200-opt:100236.0    , 3.4574256481662875     , 0.9685948510323802    ,3.8442440263686644     , 0.22079063230945217
file:Knapsack4-size:400-opt:3967180.0   ,16.303140132657944      ,15.751550959002588     ,5.747947531361734      ,46.439962310175744
file:Knapsack5-size:1000-opt:109899.0   , 3.7685059732006443     , 5.740715472928939     ,4.7323891193636        , 6.468853465972408
file:Knapsack6-size:10000-opt:1099893.0 , 8.227188356461063      ,34.978647139764604     ,9.011659899065572      ,41.97381593335059
