Problem,Average Fitness,Standard Deviation,Best Fitness,Worst Fitness,Average Execution Time
file:f1-size:10-opt:295.0,294.0,0.0,294.0,294.0,0.019886616737611832
file:f2-size:20-opt:1024.0,1024.0,0.0,1024.0,1024.0,0.0019855191630701865
file:f3-size:4-opt:35.0,35.0,0.0,35.0,35.0,9.749781700872606e-05
file:f4-size:4-opt:23.0,20.64516129032258,1.492959543923372,22.0,19.0,0.019860044602424867
file:f5-size:15-opt:481.069368,446.28318977419354,17.0416773509481,481.06936800000005,437.9345069999999,0.015667923035160188
file:f6-size:10-opt:52.0,52.0,0.0,52.0,52.0,0.0003406924586142263
file:f7-size:7-opt:107.0,87.7741935483871,7.917761484806231,102.0,81.0,0.02024467529789094
file:f8-size:23-opt:9767.0,9759.225806451614,4.323302780315179,9767.0,9754.0,0.022889667941677953
file:f9-size:5-opt:130.0,130.0,0.0,130.0,130.0,0.0001472580817437941
file:f10-size:20-opt:1025.0,1025.0,0.0,1025.0,1025.0,0.0023703728952715474
file:Knapsack1-size:30-opt:99798.0,99513.96774193548,342.00985496751576,99798.0,99084.0,0.02888991755823935
