Problem,Average Fitness,Standard Deviation,Best Fitness,Worst Fitness,Average Execution Time,Execution Time
file:f1-size:10-opt:295.0,294.0,0.0,294.0,294.0,,0.9798637897737564
file:f2-size:20-opt:1024.0,1024.0,0.0,1024.0,1024.0,,0.000536141857024162
file:f3-size:4-opt:35.0,35.0,0.0,35.0,35.0,,4.087724993305821e-05
file:f4-size:4-opt:23.0,22.0,0.0,22.0,22.0,,0.96543518189461
file:f5-size:15-opt:481.069368,481.0693680000001,1.0209379412729896e-13,481.06936800000005,481.069368,,0.014916066200502457
file:f6-size:10-opt:52.0,52.0,0.0,52.0,52.0,,9.172193465694304e-05
file:f7-size:7-opt:107.0,102.0,0.0,102.0,102.0,,1.0887322656569942
file:f8-size:23-opt:9767.0,9767.0,0.0,9767.0,9767.0,,0.31392053634889666
file:f9-size:5-opt:130.0,130.0,0.0,130.0,130.0,,5.380568965788811e-05
file:f10-size:20-opt:1025.0,1025.0,0.0,1025.0,1025.0,,0.0005336115437169229
file:Knapsack1-size:30-opt:99798.0,99798.0,0.0,99798.0,99798.0,,0.07123711801344348
file:Knapsack2-size:50-opt:142156.0,141617.12903225806,252.20546436170287,141992.0,141092.0,,2.4497178216134348
file:Knapsack3-size:200-opt:100236.0,100236.0,0.0,100236.0,100236.0,,0.18394341007355722
file:Knapsack4-size:400-opt:3967180.0,3964083.6774193547,670.0567326532772,3965476.0,3962578.0,,23.6587452273215
file:Knapsack5-size:1000-opt:109899.0,108547.70967741935,190.75050307266972,108822.0,108045.0,,2.6010040929240565
file:Knapsack6-size:10000-opt:1099893.0,1086610.677419355,1753.2273905681775,1090397.0,1083708.0,,20.179162656107255
